ticker,definition,signal_date,classification,success_70_10,recovery_20,recovery_25,recovery_30,recovery_35,recovery_40,rsi_change_3,rsi_change_5,rsi_change_10,volume_s1,volume_first,rsi_first
ONCO,D_rapid_expansion,2026-09-04,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,9.722771157050794,14.781261327340246,12.838721382342811,1.498752339363693,,S-20
XTLB,A_10_from_low,2026-04-29,no_significant_move,False,S-20,S-20,S-20,S-20,S-10,-5.690413786205852,-9.306668806728844,-2.8283042477610536,1.562714187799863,S-1,S-20
XTLB,B_20_from_low,2026-04-29,no_significant_move,False,S-20,S-20,S-20,S-20,S-10,-5.690413786205852,-9.306668806728844,-2.8283042477610536,1.562714187799863,S-1,S-20
XTLB,C_20_in_1_3,2026-04-29,no_significant_move,False,S-20,S-20,S-20,S-20,S-10,-5.690413786205852,-9.306668806728844,-2.8283042477610536,1.562714187799863,S-1,S-20
XTLB,D_rapid_expansion,2026-04-29,no_significant_move,False,S-20,S-20,S-20,S-20,S-10,-5.690413786205852,-9.306668806728844,-2.8283042477610536,1.562714187799863,S-1,S-20
XTLB,E_base_breakout,2026-04-29,no_significant_move,False,S-20,S-20,S-20,S-20,S-10,-5.690413786205852,-9.306668806728844,-2.8283042477610536,1.562714187799863,S-1,S-20
RENX,A_10_from_low,2026-03-30,true_explosion,True,S-20,S-20,S-20,S-20,S-15,-3.013176196957474,-13.392697237999101,-12.097662091257611,1.1928193626082737,,S-20
RENX,B_20_from_low,2026-03-31,true_explosion,True,S-20,S-20,S-20,S-20,S-15,-2.1962595018333246,-2.9988709477377995,-11.890341858737294,0.30773985591818487,,S-20
RENX,C_20_in_1_3,2026-04-01,temporary_spike,False,S-20,S-20,S-20,S-20,S-15,4.186070727701058,1.1728945307435836,-6.01208424358768,1.0555533587006298,,S-20
RENX,D_rapid_expansion,2026-04-01,temporary_spike,False,S-20,S-20,S-20,S-20,S-15,4.186070727701058,1.1728945307435836,-6.01208424358768,1.0555533587006298,,S-20
RENX,E_base_breakout,2026-06-11,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,2.7220624423265676,0.2384729868151183,1.402364176348641,1.6676876999523518,S-1,S-20
ADV,A_10_from_low,2026-03-27,temporary_spike,False,S-20,S-20,S-20,S-15,S-15,10.724779574783845,12.554530751594498,12.679328737821471,2.0310424130253524,S-5,S-20
ADV,B_20_from_low,2026-03-27,temporary_spike,False,S-20,S-20,S-20,S-15,S-15,10.724779574783845,12.554530751594498,12.679328737821471,2.0310424130253524,S-5,S-20
ADV,C_20_in_1_3,2026-04-07,temporary_spike,False,S-20,S-20,S-20,S-20,S-20,10.00357493250069,-21.043556361293042,0.23637820481747696,0.692499924728269,S-7,S-20
ADV,E_base_breakout,2026-05-06,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,0.6884955762782567,7.230363251062492,1.607238458603149,0.901060070671378,,S-20
ADV,D_rapid_expansion,2026-05-22,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,11.711052254276524,12.786387800903228,0.7769865100032547,2.15029028371125,S-3,S-20
CDT,A_10_from_low,2026-03-30,no_significant_move,False,S-20,S-20,S-15,,,-5.383126045410222,-7.565558015508316,-2.7225262936877073,11.384713783178766,S-3,S-15
CDT,B_20_from_low,2026-03-30,no_significant_move,False,S-20,S-20,S-15,,,-5.383126045410222,-7.565558015508316,-2.7225262936877073,11.384713783178766,S-3,S-15
CDT,C_20_in_1_3,2026-04-08,temporary_spike,False,S-20,S-20,S-20,,,1.4117728197045807,-0.11569258540106375,-7.899941574440987,0.6635898513591063,S-7,S-20
CDT,D_rapid_expansion,2026-06-18,true_explosion,True,S-20,S-15,,,,-0.07236934701468556,0.21043887703876862,-0.45700915263488184,0.016534844090667935,S-20,
CDT,E_base_breakout,2026-06-18,true_explosion,True,S-20,S-15,,,,-0.07236934701468556,0.21043887703876862,-0.45700915263488184,0.016534844090667935,S-20,
LBGJ,A_10_from_low,2026-03-27,temporary_spike,False,S-20,,,,,-0.49539240911637705,-0.9445051649178566,-3.2921753346898583,0.8007906254411973,S-20,
LBGJ,B_20_from_low,2026-03-30,temporary_spike,False,S-20,,,,,-0.2886271893247141,-0.805208348152405,-2.671014013203205,2.3930257150963348,S-20,
LBGJ,C_20_in_1_3,2026-05-06,no_significant_move,False,S-20,,,,,0.1277618440760051,-0.19830863038777125,-0.385207714639904,0.4808812625781167,,
LBGJ,D_rapid_expansion,2026-05-06,no_significant_move,False,S-20,,,,,0.1277618440760051,-0.19830863038777125,-0.385207714639904,0.4808812625781167,,
LBGJ,E_base_breakout,2026-06-05,temporary_spike,False,S-20,S-20,S-5,,,-1.7879016707616984,-0.18422495051693488,2.8124338956800443,0.10808093502576348,S-15,S-5
TRUG,A_10_from_low,2026-03-27,temporary_spike,False,S-20,S-20,S-20,S-20,S-20,1.3398094633055777,2.1217034442945746,-2.158812097830193,7.877628292918715,S-10,S-20
TRUG,B_20_from_low,2026-03-30,temporary_spike,False,S-20,S-20,S-20,S-20,S-20,11.11347938778934,-4.117465361286001,-2.4116104582131754,4.477965940894644,S-3,S-20
TRUG,C_20_in_1_3,2026-04-22,no_significant_move,False,S-20,S-20,S-20,S-20,,2.0725127458020722,-3.6803616438656945,-8.831207290822022,0.3441799593782665,S-15,S-20
TRUG,E_base_breakout,2026-07-06,temporary_spike,False,S-20,S-20,S-20,S-20,S-20,2.2497443583912187,1.7954473185262927,4.847823502356356,1.5189956403448388,S-20,S-20
TRUG,D_rapid_expansion,2026-08-17,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,7.986301917676613,10.872010176976744,15.730774115492892,11.743000698941039,S-1,S-20
ATXG,A_10_from_low,2026-03-31,temporary_spike,False,S-20,S-20,S-20,S-7,S-7,-0.964569308680872,-6.019108063948558,19.73091023239843,0.39048908636495266,S-10,S-20
ATXG,B_20_from_low,2026-03-31,temporary_spike,False,S-20,S-20,S-20,S-7,S-7,-0.964569308680872,-6.019108063948558,19.73091023239843,0.39048908636495266,S-10,S-20
ATXG,C_20_in_1_3,2026-04-09,no_significant_move,False,S-20,S-20,S-15,S-15,S-15,4.5191666540506645,4.959526902931472,-1.165595351640846,0.29236746878223147,S-15,S-15
EJH,A_10_from_low,2026-03-30,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,0.5026727621288813,0.45684413605187046,0.6384424565439133,0.509902643273652,S-20,S-20
EJH,B_20_from_low,2026-05-20,gradual_rise,False,S-20,S-20,S-2,,,0.042850548839282965,2.660906530678602,4.920119502427568,0.05320563979781857,S-5,S-2
EJH,E_base_breakout,2026-06-05,true_explosion,True,S-20,S-15,S-10,S-7,S-3,-1.4212682482686247,1.2495975920694349,4.7471493131723435,0.2995008319467554,,S-10
EJH,C_20_in_1_3,2026-06-09,no_significant_move,False,S-20,S-15,S-15,S-10,S-5,10.960311009928503,9.539042761659879,10.371418944945596,3.0869094843130185,S-1,S-15
