ticker,definition,classification,RSI recovery 20,RSI recovery 25,RSI recovery 30,RSI rising,Volume expansion,MACD improvement,MA20 reclaim
XRTX,C_20_in_1_3,No Significant Move,S-20,S-20,S-20,S-15,S-15,S-15,S-10
XRTX,D_rapid_expansion,No Significant Move,S-20,S-20,S-20,S-20,S-15,S-20,S-10
XRTX,E_base_breakout,No Significant Move,S-20,S-20,S-20,S-20,S-15,S-20,S-10
CHR,A_10_from_low,No Significant Move,S-20,S-20,S-20,S-15,S-15,S-5,
CHR,B_20_from_low,No Significant Move,S-20,S-20,S-20,S-15,S-15,S-5,
CHR,C_20_in_1_3,Temporary Spike,S-20,S-20,S-15,S-20,S-2,S-15,S-10
CHR,D_rapid_expansion,Temporary Spike,S-20,S-20,S-15,S-20,S-2,S-15,S-10
CHR,E_base_breakout,Temporary Spike,S-20,S-20,S-20,S-7,S-7,S-20,S-7
MOBX,A_10_from_low,No Significant Move,S-20,S-20,S-20,S-3,,S-20,S-20
MOBX,B_20_from_low,Temporary Spike,S-20,S-20,S-20,S-5,,S-20,S-20
MOBX,C_20_in_1_3,No Significant Move,S-20,S-20,S-20,S-20,S-3,S-15,S
MOBX,D_rapid_expansion,No Significant Move,S-20,S-20,S-20,S-20,S-3,S-15,S
MOBX,E_base_breakout,No Significant Move,S-20,S-20,S-20,S-20,S-3,S-15,S
JTAI,A_10_from_low,Temporary Spike,S-20,S-10,,S-15,S-15,S-20,
JTAI,B_20_from_low,Temporary Spike,S-15,S-10,,S-15,S-3,S-20,
JTAI,C_20_in_1_3,Temporary Spike,S-20,S-15,,S-20,S-20,S-20,
JTAI,E_base_breakout,Temporary Spike,S-20,S-20,S-15,S-15,S,S-20,S-15
JTAI,D_rapid_expansion,No Significant Move,S-20,S-20,S-15,S-15,S-1,S-20,S-15
NXTS,A_10_from_low,Temporary Spike,S-20,S-20,S-20,S-20,S-3,S-20,
NXTS,B_20_from_low,Temporary Spike,S-20,S-20,S-20,S-20,S-3,S-20,
NXTS,C_20_in_1_3,No Significant Move,S-20,S-20,S-20,S-20,S-20,S-20,S-10
NXTS,D_rapid_expansion,No Significant Move,S-20,S-20,S-20,S-20,S-20,S-20,S-10
NXTS,E_base_breakout,No Significant Move,S-20,S-20,S-20,S-20,S-20,S-20,S-10
RDGT,A_10_from_low,No Significant Move,S-20,S-20,S-20,S-20,S-20,S-20,S-20
RDGT,B_20_from_low,No Significant Move,S-20,S-20,S-20,S-20,S-20,S-20,S-20
RDGT,C_20_in_1_3,Temporary Spike,S-20,S-20,S-20,S-10,S-10,S-20,S-1
RDGT,D_rapid_expansion,Gradual Rise,S-20,S-20,S-20,S-15,S-7,S-20,S-7
RDGT,E_base_breakout,Gradual Rise,S-20,S-20,S-20,S-15,S-7,S-20,S-7
RUBI,A_10_from_low,No Significant Move,S-3,,,S-10,S-2,S-20,
RUBI,B_20_from_low,No Significant Move,S-7,,,S-20,S-15,S-20,
RUBI,C_20_in_1_3,True Explosion,S-20,,,S-5,S-15,S-20,
RUBI,D_rapid_expansion,True Explosion,S-20,,,S-5,S-15,S-20,
WORX,A_10_from_low,Temporary Spike,,,,,,,
WORX,B_20_from_low,No Significant Move,,,,,,,
WORX,C_20_in_1_3,No Significant Move,S-1,S-1,S,,,S-5,
AKAN,A_10_from_low,Rapid Move,S-20,S-20,S-20,S-7,,S-20,
AKAN,B_20_from_low,Rapid Move,S-20,S-20,S-20,S-15,,S-20,S
AKAN,C_20_in_1_3,Rapid Move,S-20,S-20,S-20,S-20,S-3,S-20,S-5
AKAN,D_rapid_expansion,Rapid Move,S-20,S-20,S-20,S-20,S-3,S-20,S-5
AKAN,E_base_breakout,No Significant Move,S-20,S-20,S-20,S-20,S-15,S-7,S
CENN,A_10_from_low,No Significant Move,S-20,S-20,S-20,S-20,S-20,S-20,S-20
CENN,B_20_from_low,No Significant Move,S-20,S-20,S-20,S-7,S-10,S-20,S-15
CENN,E_base_breakout,Temporary Spike,S-20,S-20,S-20,S-20,S,S-20,S-7
HCAI,A_10_from_low,Gradual Rise,S-20,S-20,S-5,S-7,S-5,S-20,S-3
HCAI,B_20_from_low,Gradual Rise,S-20,S-20,S-5,S-7,S-5,S-20,S-3
HCAI,C_20_in_1_3,Rapid Move,S-20,S-20,S-20,S-20,S-10,S-10,S-10
HCAI,D_rapid_expansion,Rapid Move,S-20,S-20,S-15,S-20,S,S-15,S-10
JEM,A_10_from_low,No Significant Move,S-20,S-20,S-20,S-20,S-3,S-20,S-15
JEM,B_20_from_low,No Significant Move,S-20,S-20,S-20,S-20,S-20,S-20,S-15
