feature,rule,threshold,p_value,signals,successes,failures,success_rate,success_rate_ci95_clustered,base_rate_all_rows,lift,odds_ratio,fisher_p_value,relative_risk,median_return_20,mean_return_20,tickers,q_value_bh,significant_bh_05
rsi_range_pre,bottom_10,3.157466572531604,1.0,114,19,95,0.16666666666666666,"[0.0592483660130719, 0.28976010008094777]",0.16725352112676056,0.9964912280701754,0.9953216374269006,1.0,0.9964912280701754,25.543261155281584,104.8957662669144,41,1.0,False
rsi_range_pre,bottom_20,6.451386827673275,0.6196934119929756,228,35,193,0.15350877192982457,"[0.08332509881422924, 0.22707919809448193]",0.16725352112676056,0.9178208679593721,0.8809961557746949,0.6196934119929756,0.9178208679593721,17.42161390450453,88.33804968949244,89,0.7875270444077397,False
rsi_range_pre,bottom_30,8.647692984442523,0.2596289124911778,339,50,289,0.14749262536873156,"[0.09428246753246754, 0.2047610449280785]",0.16725352112676056,0.8818506443098898,0.8119130004943154,0.2596289124911778,0.8818506443098898,19.604319492905976,79.26056708208925,129,0.4799201109685408,False
rsi_range_pre,median,13.240182909100646,0.47573656834684364,565,99,466,0.1752212389380531,"[0.13357384860385882, 0.21906035846072744]",0.16725352112676056,1.0476385654401492,1.1205961420553696,0.47573656834684364,1.0476385654401492,20.750541652250142,91.7333856788523,185,0.6828218980978226,False
rsi_range_pre,top_30,18.198751004697343,0.7949829347957584,339,55,284,0.16224188790560473,"[0.11336517165005537, 0.21284777424483306]",0.16725352112676056,0.9700357087408789,0.949660928534168,0.7949829347957584,0.9700357087408789,22.88889355129666,71.24143123541538,145,0.8933287191225704,False
rsi_range_pre,top_20,21.784165826722102,0.9208952698599708,227,37,190,0.16299559471365638,"[0.10547968021319121, 0.2264957264957265]",0.16725352112676056,0.9745420820774402,0.9622291021671827,0.9208952698599708,0.9745420820774402,24.675332717779884,75.6624303948937,106,0.9602497685719353,False
rsi_range_pre,top_10,30.195852818132497,0.14318832777241938,113,13,100,0.11504424778761062,"[0.049176309868209575, 0.1958762886597938]",0.16725352112676056,0.687843502561714,0.6213559322033898,0.14318832777241938,0.687843502561714,27.61505516496918,81.0132082552694,49,0.31761774524063935,False
volume_ratio_pre,bottom_10,0.10891089108910891,0.23180084499509213,113,14,99,0.12389380530973451,"[0.047600446428571426, 0.2037037037037037]",0.16725352112676056,0.7407545412203074,0.6805555555555556,0.23180084499509213,0.7407545412203074,16.666666666666675,107.42238787978211,54,0.44537018552096624,False
volume_ratio_pre,bottom_20,0.24208086531032708,0.6193196469809017,225,40,185,0.17777777777777778,"[0.1089138529768629, 0.25571603467672555]",0.16725352112676056,1.0629239766081873,1.0969369369369368,0.6193196469809017,1.0629239766081873,19.646364833438625,135.2527318607894,107,0.7875270444077397,False
volume_ratio_pre,bottom_30,0.4330732541148576,1.0,338,56,282,0.16568047337278108,"[0.11013696908771048, 0.2256234631488004]",0.16725352112676056,0.9905948302709437,0.9840160897639463,1.0,0.9905948302709437,20.643575312013482,119.8925074868902,150,1.0,False
volume_ratio_pre,median,0.901060070671378,0.9366740031964749,561,93,468,0.1657754010695187,"[0.1254543825350277, 0.21097848836294397]",0.16725352112676056,0.9911623979735434,0.979249273063706,0.9366740031964749,0.9911623979735434,21.561334995113747,90.89513939805471,215,0.9684256643217791,False
volume_ratio_pre,top_30,1.686141103387073,0.001671592441764916,337,75,262,0.22255192878338279,"[0.1661126752632468, 0.2818187977334319]",0.16725352112676056,1.330626268936436,1.7026219714570197,0.001671592441764916,1.330626268936436,31.759658101606835,85.77301616384399,153,0.011329682105295542,True
volume_ratio_pre,top_20,2.723136773135891,0.00096920850707325,226,55,171,0.24336283185840707,"[0.16939098756632612, 0.3228894925850808]",0.16725352112676056,1.4550535631113182,1.846437080355209,0.00096920850707325,1.4550535631113182,28.74815094245644,99.9775225421232,111,0.007390214866433531,True
volume_ratio_pre,top_10,6.848865888256847,0.0635391935974337,113,26,87,0.23008849557522124,"[0.12496778350515464, 0.35399101107936726]",0.16725352112676056,1.375687005123428,1.5653209980375666,0.0635391935974337,1.375687005123428,19.50000524520874,101.48261253101765,57,0.1977643058821904,False
volume_change_5,bottom_10,-1.5412100095073666,0.007459777676592545,113,9,104,0.07964601769911504,"[0.025840517241379313, 0.14518394345777455]",0.16725352112676056,0.4761993479273405,0.402571185720357,0.007459777676592545,0.4761993479273405,20.6265741855848,51.260134330423014,77,0.033707143575714464,True
volume_change_5,bottom_20,-0.4139836875774813,0.006848518926764937,225,24,201,0.10666666666666667,"[0.057262443001777574, 0.16055455439056357]",0.16725352112676056,0.6377543859649123,0.5358748426541989,0.006848518926764937,0.6377543859649123,20.270266787164704,42.24126559547084,133,0.03342077236261289,True
volume_change_5,bottom_30,-0.09880823457405163,0.002281408218887535,337,39,298,0.11572700296735905,"[0.07417294880785413, 0.16103776819829527]",0.16725352112676056,0.6919256598469468,0.5616249611093826,0.002281408218887535,0.6919256598469468,20.43910579954098,53.13858563681832,169,0.013916590135213963,True
volume_change_5,median,0.15002219531365774,0.005310498414077765,561,76,485,0.1354723707664884,"[0.0954861111111111, 0.1752935303051382]",0.16725352112676056,0.809982174688057,0.6336769759450172,0.005310498414077765,0.809982174688057,20.43910579954098,76.2568051637894,219,0.028168730718151624,True
